id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
12001015016P8;UFAM;CIÊNCIAS FLORESTAIS E AMBIENTAIS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Acad;2013;3;15;0;4;7;1;4;0;1;0
12001015016P8;UFAM;CIÊNCIAS FLORESTAIS E AMBIENTAIS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Acad;2014;3;16;6;5;12;2;1;1;7;0
12001015016P8;UFAM;CIÊNCIAS FLORESTAIS E AMBIENTAIS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Acad;2015;3;13;6;4;13;2;4;0;1;1
12001015016P8;UFAM;CIÊNCIAS FLORESTAIS E AMBIENTAIS;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Acad;2016;3;13;7;3;11;1;3;1;1;0
12001015018P0;UFAM;SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA;SAÚDE E BIOLÓGICAS;Acad;2013;3;32;15;12;12;6;2;9;0;7
12001015018P0;UFAM;SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA;SAÚDE E BIOLÓGICAS;Acad;2014;3;29;2;11;14;2;3;8;0;1
12001015018P0;UFAM;SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA;SAÚDE E BIOLÓGICAS;Acad;2015;3;27;3;0;3;2;1;1;0;0
12001015018P0;UFAM;SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA;SAÚDE E BIOLÓGICAS;Acad;2016;3;19;4;7;14;5;2;5;1;0
12001015021P1;UFAM;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;Acad;2013;3;12;0;5;2;3;0;0;0;0
12001015021P1;UFAM;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;Acad;2014;3;12;3;0;1;4;1;0;0;1
12001015021P1;UFAM;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;Acad;2015;3;11;1;0;5;4;1;0;2;4
12001015021P1;UFAM;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;Acad;2016;3;11;2;2;2;5;0;0;1;2
12001015022P8;UFAM;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Acad;2013;3;9;3;0;1;0;0;0;0;0
12001015022P8;UFAM;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Acad;2014;3;12;0;1;2;1;0;0;1;0
12001015022P8;UFAM;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Acad;2015;3;12;0;0;1;1;0;0;0;0
12001015022P8;UFAM;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Acad;2016;3;12;0;1;1;1;1;1;5;5
12001015023P4;UFAM;HISTÓRIA;HISTÓRIA;Acad;2013;3;15;4;0;3;4;1;5;2;1
12001015023P4;UFAM;HISTÓRIA;HISTÓRIA;Acad;2014;3;15;2;2;6;7;3;18;4;3
12001015023P4;UFAM;HISTÓRIA;HISTÓRIA;Acad;2015;3;17;1;0;1;7;4;2;4;1
12001015023P4;UFAM;HISTÓRIA;HISTÓRIA;Acad;2016;3;15;0;1;0;4;1;2;0;0
12001015024P0;UFAM;SOCIOLOGIA;SOCIOLOGIA;Acad;2013;3;18;4;6;3;1;0;2;0;2
12001015024P0;UFAM;SOCIOLOGIA;SOCIOLOGIA;Acad;2014;3;18;0;2;5;1;0;0;3;4
12001015024P0;UFAM;SOCIOLOGIA;SOCIOLOGIA;Acad;2015;3;18;0;2;4;1;0;15;3;0
12001015024P0;UFAM;SOCIOLOGIA;SOCIOLOGIA;Acad;2016;3;18;2;0;1;3;0;7;2;1
12001015025P7;UFAM;CIÊNCIAS PESQUEIRAS NOS TRÓPICOS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;Acad;2013;3;24;6;3;15;6;7;0;5;5
12001015025P7;UFAM;CIÊNCIAS PESQUEIRAS NOS TRÓPICOS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;Acad;2014;3;28;7;4;21;6;3;3;6;12
12001015025P7;UFAM;CIÊNCIAS PESQUEIRAS NOS TRÓPICOS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;Acad;2015;3;28;4;2;14;3;5;2;7;4
12001015025P7;UFAM;CIÊNCIAS PESQUEIRAS NOS TRÓPICOS;RECURSOS PESQUEIROS E ENGENHARIA DE PESCA;Acad;2016;3;27;3;10;15;9;1;4;3;6
12001015026P3;UFAM;GEOGRAFIA;GEOGRAFIA;Acad;2013;4;18;8;3;1;1;1;1;1;1
12001015026P3;UFAM;GEOGRAFIA;GEOGRAFIA;Acad;2015;4;18;5;4;1;6;4;1;3;7
12001015026P3;UFAM;GEOGRAFIA;GEOGRAFIA;Acad;2014;4;18;1;0;1;1;0;1;5;1
